pair_id	role	domain	genus	genus_taxid	species_taxid	accession	organism_name	tax_id	strain	refseq_category	total_sequence_length	assembly_level	note
vibrio	db	bacteria	Vibrio	662	666	GCF_008369605.1	Vibrio cholerae	666	RFB16	reference genome	4138412	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
flavobacterium	sim	bacteria	Flavobacterium	237	986	GCF_000016645.1	Flavobacterium johnsoniae UW101	376686	UW101; ATCC 17061	reference genome	6096872	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
flavobacterium	db	bacteria	Flavobacterium	237	996	GCF_014844295.1	Flavobacterium columnare	996	F2S17	reference genome	3221278	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
enterococcus	sim	bacteria	Enterococcus	1350	1351	GCF_028116745.1	Enterococcus faecalis	1351	SVR2085	na	3600715	Chromosome	Lower species taxid is simulated; higher species taxid is the database
enterococcus	db	bacteria	Enterococcus	1350	1352	GCF_009734005.1	Enterococcus faecium	1352	SRR24	reference genome	2919198	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
microbacterium	sim	bacteria	Microbacterium	33882	2033	GCF_000202635.1	Microbacterium testaceum StLB037	979556	StLB037	na	3982034	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
microbacterium	db	bacteria	Microbacterium	33882	33883	GCF_030369635.1	Microbacterium arborescens	33883	SSF12	reference genome	3370341	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
acinetobacter	sim	bacteria	Acinetobacter	469	470	GCF_009035845.1	Acinetobacter baumannii	470	ATCC 19606	reference genome	3999136	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
acinetobacter	db	bacteria	Acinetobacter	469	471	GCF_002055515.1	Acinetobacter calcoaceticus	471	CA16	na	4115994	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
streptococcus	sim	bacteria	Streptococcus	1301	1302	GCF_019046945.1	Streptococcus gordonii	1302	FDAARGOS 1454	reference genome	2187618	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
streptococcus	db	bacteria	Streptococcus	1301	1303	GCF_900637025.1	Streptococcus oralis ATCC 35037	655813	NCTC 11427	reference genome	1931548	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
arthrobacter	sim	bacteria	Arthrobacter	1663	1665	GCF_046536215.2	Arthrobacter globiformis	1665	CNM05	na	5267372	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
arthrobacter	db	bacteria	Arthrobacter	1663	1670	GCF_038405225.1	Arthrobacter citreus	1670	EINP1	na	3882960	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
sphingomonas	sim	bacteria	Sphingomonas	13687	13689	GCF_016027095.1	Sphingomonas paucimobilis	13689	FDAARGOS_908	reference genome	4367078	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
sphingomonas	db	bacteria	Sphingomonas	13687	28213	GCF_039725525.1	Sphingomonas parapaucimobilis	28213	YK209	na	4099248	Chromosome	Lower species taxid is simulated; higher species taxid is the database
micromonospora	sim	bacteria	Micromonospora	1873	1874	GCF_028768405.1	Micromonospora chalcea	1874	1K05785M01	reference genome	6861996	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
micromonospora	db	bacteria	Micromonospora	1873	1877	GCF_048164815.1	Micromonospora echinospora	1877	49-92S-GM03	na	7819078	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
mycobacterium	sim	bacteria	Mycobacterium	1763	1764	GCF_022175585.2	Mycobacterium avium subsp. hominissuis	439334	OCU889s_P11_4s	reference genome	5173839	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
mycobacterium	db	bacteria	Mycobacterium	1763	1767	GCF_000277125.1	Mycobacterium intracellulare ATCC 13950	487521	ATCC 13950	reference genome	5402402	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
rhizobium	sim	bacteria	Rhizobium	379	384	GCF_035969035.1	Rhizobium leguminosarum	384	TP16	na	8799320	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
rhizobium	db	bacteria	Rhizobium	379	396	GCF_001664385.1	Rhizobium phaseoli	396	R650	reference genome	6726041	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
enterobacter	sim	bacteria	Enterobacter	547	550	GCF_905331265.2	Enterobacter cloacae	550		reference genome	5023439	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
enterobacter	db	bacteria	Enterobacter	547	61645	GCF_007035805.1	Enterobacter asburiae	61645	17Nkhm-UP2	reference genome	4768325	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
citrobacter	sim	bacteria	Citrobacter	544	545	GCF_000018045.1	Citrobacter koseri ATCC BAA-895	290338	ATCC BAA-895	reference genome	4735357	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
citrobacter	db	bacteria	Citrobacter	544	546	GCF_904859905.1	Citrobacter freundii	546	MSB1_1H	reference genome	5171093	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
shewanella	sim	bacteria	Shewanella	22	23	GCF_059638055.1	Shewanella colwelliana	23	CLAM2	reference genome	4488291	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
shewanella	db	bacteria	Shewanella	22	24	GCF_016406325.1	Shewanella putrefaciens	24	ATCC 8071	reference genome	4386330	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
clostridium	sim	bacteria	Clostridium	1485	1488	GCF_000218855.1	Clostridium acetobutylicum DSM 1731	991791	DSM 1731	reference genome	4145581	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
clostridium	db	bacteria	Clostridium	1485	1491	GCF_000063585.1	Clostridium botulinum A str. ATCC 3502	413999	ATCC 3502	reference genome	3903260	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
spiroplasma	sim	bacteria	Spiroplasma	2132	2133	GCF_001886855.1	Spiroplasma citri	2133	R8-A2	reference genome	1640878	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
spiroplasma	db	bacteria	Spiroplasma	2132	2136	GCF_002865545.1	Spiroplasma monobiae MQ-1	1336748	MQ-1	reference genome	891575	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
xanthomonas	sim	bacteria	Xanthomonas	338	339	GCF_013388375.1	Xanthomonas campestris pv. raphani	359385	MAFF106181	reference genome	4942039	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
xanthomonas	db	bacteria	Xanthomonas	338	343	GCF_017301775.1	Xanthomonas translucens pv. undulosa	487909	XtLr8	reference genome	4649333	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
stenotrophomonas	sim	bacteria	Stenotrophomonas	40323	40324	GCF_020641395.2	Stenotrophomonas maltophilia	40324	ACYCa.6E	reference genome	4646175	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
stenotrophomonas	db	bacteria	Stenotrophomonas	40323	83617	GCF_001700965.1	Stenotrophomonas nitritireducens	83617	2001	na	4541729	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
thermococcus	sim	archaea	Thermococcus	2263	2264	GCF_002214365.1	Thermococcus celer Vu 13 = JCM 8558	1293037	Vu 13	reference genome	1866819	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
thermococcus	db	archaea	Thermococcus	2263	2265	GCF_000246985.2	Thermococcus litoralis DSM 5473	523849	DSM 5473	reference genome	2215172	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halorubrum	sim	archaea	Halorubrum	56688	2247	GCF_000022205.1	Halorubrum lacusprofundi ATCC 49239	416348	ATCC 49239	reference genome	3692576	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halorubrum	db	archaea	Halorubrum	56688	2248	GCF_982481055.1	Halorubrum saccharovorum	2248		na	3338610	Chromosome	Lower species taxid is simulated; higher species taxid is the database
haloarcula	sim	archaea	Haloarcula	2237	2238	GCF_000011085.1	Haloarcula marismortui ATCC 43049	272569	ATCC 43049	reference genome	4274642	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
haloarcula	db	archaea	Haloarcula	2237	29282	GCF_982480705.1	Haloarcula japonica	29282		na	4222054	Chromosome	Lower species taxid is simulated; higher species taxid is the database
methanosarcina	sim	archaea	Methanosarcina	2207	2208	GCF_000970025.1	Methanosarcina barkeri MS	1434108	MS	reference genome	4574907	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanosarcina	db	archaea	Methanosarcina	2207	2209	GCF_000970205.1	Methanosarcina mazei S-6	213585	S-6	reference genome	4142816	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanobacterium	sim	archaea	Methanobacterium	2160	2162	GCF_001458655.1	Methanobacterium formicicum	2162		reference genome	2494510	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanobacterium	db	archaea	Methanobacterium	2160	59277	GCF_002813695.1	Methanobacterium subterraneum	59277	A8p	reference genome	2515817	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
natrinema	sim	archaea	Natrinema	88723	69525	GCF_000230735.2	Natrinema pellirubrum DSM 15624	797303	DSM 15624	reference genome	4354100	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
natrinema	db	archaea	Natrinema	88723	69527	GCF_005890195.1	Natrinema pallidum	69527	BOL6-1	reference genome	3778093	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanobrevibacter	sim	archaea	Methanobrevibacter	2172	2173	GCF_000016525.1	Methanobrevibacter smithii ATCC 35061	420247	ATCC 35061; PS; DSMZ 861	reference genome	1853160	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanobrevibacter	db	archaea	Methanobrevibacter	2172	39441	GCF_019669925.1	Methanobrevibacter arboriphilus	39441	SA	na	2393271	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanolobus	sim	archaea	Methanolobus	2220	536044	GCF_013388255.1	Methanolobus zinderi	536044	DSM 21339	reference genome	2704953	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanolobus	db	archaea	Methanolobus	2220	3072977	GCF_031312535.1	Methanolobus mangrovi	3072977	FTZ2	reference genome	2623311	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halobacterium	sim	archaea	Halobacterium	2239	2242	GCF_004799605.1	Halobacterium salinarum	2242	91-R6	reference genome	2429680	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halobacterium	db	archaea	Halobacterium	2239	223182	GCF_021233435.1	Halobacterium noricense	223182	JCM 15102	reference genome	3316796	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanothermobacter	sim	archaea	Methanothermobacter	145260	145261	GCF_025397995.1	Methanothermobacter wolfeii	145261	DSM 2970	reference genome	1706705	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanothermobacter	db	archaea	Methanothermobacter	145260	145262	GCF_027554905.1	Methanothermobacter thermautotrophicus	145262	Delta H	reference genome	1751429	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
haloferax	sim	archaea	Haloferax	2251	2246	GCF_000025685.1	Haloferax volcanii DS2	309800	DS2	reference genome	4012900	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
haloferax	db	archaea	Haloferax	2251	2252	GCF_005406325.1	Haloferax mediterranei ATCC 33500	523841	ATCC 33500	reference genome	3907473	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halobaculum	sim	archaea	Halobaculum	43927	1017351	GCF_019823105.1	Halobaculum magnesiiphilum	1017351	NBRC 109044	reference genome	3732450	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halobaculum	db	archaea	Halobaculum	43927	2175149	GCF_019880245.1	Halobaculum roseum	2175149	CGMCC 1.15501	reference genome	3719897	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
nitrosopumilus	sim	archaea	Nitrosopumilus	338191	338192	GCF_000018465.1	Nitrosopumilus maritimus SCM1	436308	SCM1	reference genome	1645259	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
nitrosopumilus	db	archaea	Nitrosopumilus	338191	718286	GCF_025998175.1	Nitrosopumilus zosterae	718286	NM25	reference genome	1775052	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
haladaptatus	sim	archaea	Haladaptatus	367188	1008152	GCF_020700235.1	Haladaptatus pallidirubidus	1008152	YIM 93656	reference genome	6270521	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
haladaptatus	db	archaea	Haladaptatus	367188	2884875	GCF_020618475.1	Haladaptatus halobius	2884875	PSR5	reference genome	7279389	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
haloplanus	sim	archaea	Haloplanus	376170	660522	GCF_003856835.1	Haloplanus aerogenes	660522	JCM 16430	reference genome	3503092	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
haloplanus	db	archaea	Haloplanus	376170	767515	GCF_045690335.1	Haloplanus litoreus	767515	GX21	reference genome	3506409	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halorussus	sim	archaea	Halorussus	1070314	2505977	GCF_004087835.1	Halorussus pelagicus	2505977	RC-68	reference genome	3490924	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halorussus	db	archaea	Halorussus	1070314	2650975	GCF_008831545.1	Halorussus halophilus	2650975	ZS-3	reference genome	4450731	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pyrococcus	sim	archaea	Pyrococcus	2260	2261	GCF_008245085.1	Pyrococcus furiosus DSM 3638	186497	DSM 3638	reference genome	1889914	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pyrococcus	db	archaea	Pyrococcus	2260	2262	GCF_050496105.1	Pyrococcus woesei	2262	DSM 3773	reference genome	1856505	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanocaldococcus	sim	archaea	Methanocaldococcus	196118	2190	GCF_000091665.1	Methanocaldococcus jannaschii DSM 2661	243232	DSM 2661	reference genome	1739927	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanocaldococcus	db	archaea	Methanocaldococcus	196118	67760	GCF_000092305.1	Methanocaldococcus infernus ME	573063	ME	reference genome	1328194	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pyrobaculum	sim	archaea	Pyrobaculum	2276	2277	GCF_000015205.1	Pyrobaculum islandicum DSM 4184	384616	DSM 4184	reference genome	1826402	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pyrobaculum	db	archaea	Pyrobaculum	2276	2278	GCF_055384425.1	Pyrobaculum organotrophum	2278	JCM 9190	reference genome	1890320	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
acidianus	sim	archaea	Acidianus	12914	2283	GCF_009729015.1	Acidianus ambivalens	2283	LEI 10	reference genome	2252027	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
acidianus	db	archaea	Acidianus	12914	41673	GCF_003201835.2	Acidianus brierleyi	41673	DSM 1651	reference genome	2947244	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
natronomonas	sim	archaea	Natronomonas	63743	2257	GCF_000026045.1	Natronomonas pharaonis DSM 2160	348780	Gabara	reference genome	2749696	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
natronomonas	db	archaea	Natronomonas	63743	416273	GCF_000591055.1	Natronomonas moolapensis 8.8.11	268739	8.8.11	reference genome	2912573	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halomicrobium	sim	archaea	Halomicrobium	203135	57705	GCF_000023965.1	Halomicrobium mukohataei DSM 12286	485914	DSM 12286	reference genome	3332349	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halomicrobium	db	archaea	Halomicrobium	203135	1586233	GCF_020217425.1	Halomicrobium urmianum	1586233	IBRC-M: 10911	reference genome	4254704	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
saccharolobus	sim	archaea	Saccharolobus	2100760	2286	GCF_019175345.1	Saccharolobus shibatae B12	523848	B12	reference genome	2916875	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
saccharolobus	db	archaea	Saccharolobus	2100760	2287	GCF_003852155.1	Saccharolobus solfataricus	2287	SULM	reference genome	2658139	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanococcoides	sim	archaea	Methanococcoides	2225	2226	GCF_052657215.1	Methanococcoides methylutens	2226	Q3c	na	2584604	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanococcoides	db	archaea	Methanococcoides	2225	29291	GCF_000013725.1	Methanococcoides burtonii DSM 6242	259564	DSM 6242	reference genome	2575032	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halococcus	sim	archaea	Halococcus	2249	2250	GCF_052043925.1	Halococcus morrhuae DSM 1307	931277	DSM 1307	reference genome	3048131	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halococcus	db	archaea	Halococcus	2249	36738	GCF_052043865.1	Halococcus salifodinae	36738	DSM 8989	reference genome	4246728	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
mammarenavirus	sim	viral	Mammarenavirus	1653394	144752	GCF_000872565.1	Mammarenavirus allpahuayoense	144752	CLHP-2472	na	10396	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
mammarenavirus	db	viral	Mammarenavirus	1653394	2169991	GCF_000856545.1	Mammarenavirus juninense	2169991	XJ13	na	10525	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
alehxovirus	sim	viral	Alehxovirus	2842364	3426018	GCF_024382145.1	Alehxovirus allofaecicola	3426018		na	3792	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
alehxovirus	db	viral	Alehxovirus	2842364	3426021	GCF_024381595.1	Alehxovirus allofundihabitans	3426021		na	3676	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
cyclovirus	sim	viral	Cyclovirus	742914	942033	GCF_000889655.1	Cyclovirus PKgoat21/PAK/2009	942033		na	1838	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
cyclovirus	db	viral	Cyclovirus	742914	1506568	GCF_000925995.1	Cyclovirus ZM36a	1506568	ZM36a	na	1865	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
betapolyomavirus	sim	viral	Betapolyomavirus	1891714	1236392	GCF_000902195.1	Betapolyomavirus calbifrons	1236392		na	5013	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
betapolyomavirus	db	viral	Betapolyomavirus	1891714	1236395	GCF_000929995.1	Betapolyomavirus cercopitheci	1236395		na	5189	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
alphapolyomavirus	sim	viral	Alphapolyomavirus	1891713	1236391	GCF_000902815.1	Alphapolyomavirus apaniscus	1236391		na	5273	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
alphapolyomavirus	db	viral	Alphapolyomavirus	1891713	1606498	GCF_002827805.1	Alphapolyomavirus secarplanirostris	1606498		na	5019	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
orthohantavirus	sim	viral	Orthohantavirus	1980442	1980456	GCF_000850405.1	Orthohantavirus andesense	1980456	Chile-9717869	na	12104	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
orthohantavirus	db	viral	Orthohantavirus	1980442	3052470	GCF_002816435.1	Orthohantavirus bayoui	3052470		na	12189	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
begomovirus	sim	viral	Begomovirus	10814	10815	GCF_000847225.1	Begomovirus bauri	10815		na	5217	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
begomovirus	db	viral	Begomovirus	10814	10817	GCF_000857205.1	Begomovirus manihotis	10817		na	5503	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
lyssavirus	sim	viral	Lyssavirus	11286	11292	GCF_000859625.1	Lyssavirus rabies	11292		na	11932	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
lyssavirus	db	viral	Lyssavirus	11286	12538	GCF_000856485.1	Lyssavirus mokola	12538		na	11940	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
enterovirus	sim	viral	Enterovirus	12059	47681	GCF_000919855.1	Enterovirus sp.	47681		na	7376	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
enterovirus	db	viral	Enterovirus	12059	3428500	GCF_000861905.1	Enterovirus A	138948		na	7413	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
circovirus	sim	viral	Circovirus	39725	1964372	GCF_002375075.1	Circovirus sp.	1964372		na	1873	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
circovirus	db	viral	Circovirus	39725	3052120	GCF_004787975.1	Circovirus daga	3052120		na	1674	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
emaravirus	sim	viral	Emaravirus	675845	1980427	GCF_001580335.1	Emaravirus fici	1980427		na	15217	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
emaravirus	db	viral	Emaravirus	675845	1980428	GCF_002375145.1	Emaravirus tritici	1980428		na	18555	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
rotavirus	sim	viral	Rotavirus	10912	3432193	GCF_000880735.1	Rotavirus A	28875	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	na	18562	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
rotavirus	db	viral	Rotavirus	10912	3432196	GCF_000890155.1	Rotavirus D chicken/05V0049/DEU/2005	884200	05V0049	na	18500	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
ninurtavirus	sim	viral	Ninurtavirus	3152926	3431119	GCF_004290935.1	Ninurtavirus cruti	3431119		na	2159	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
ninurtavirus	db	viral	Ninurtavirus	3152926	3431125	GCF_004369605.1	Ninurtavirus lophus	3431125		na	2979	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
orthobunyavirus	sim	viral	Orthobunyavirus	11572	3052384	GCF_002118905.1	Orthobunyavirus bwambaense	3052384	M459	na	12587	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
orthobunyavirus	db	viral	Orthobunyavirus	11572	3052395	GCF_002831345.1	Orthobunyavirus guajaraense	3052395	BeAn 10615	na	12095	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
gyrovirus	sim	viral	Gyrovirus	227307	2844799	GCF_001045285.1	Gyrovirus GyV8	1670973		na	2218	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
gyrovirus	db	viral	Gyrovirus	227307	2844801	GCF_000924395.1	Gyrovirus GyV7-SF	1548711	GyV7-SF	na	2439	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
orthonairovirus	sim	viral	Orthonairovirus	1980517	2170061	GCF_003032565.1	Orthonairovirus artashatense	2170061	LEIV-10898Az	na	17454	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
orthonairovirus	db	viral	Orthonairovirus	1980517	3052511	GCF_003032545.1	Orthonairovirus chimense	3052511	LEIV-858Uz	na	18510	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
porprismacovirus	sim	viral	Porprismacovirus	2169663	3431830	GCF_005235225.1	Porprismacovirus bovas3	3431830		na	2734	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
porprismacovirus	db	viral	Porprismacovirus	2169663	3431834	GCF_031249865.1	Porprismacovirus canid3	3431834	CJY7	na	2610	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
vesiculovirus	sim	viral	Vesiculovirus	11271	1972565	GCF_002145705.1	Vesiculovirus morreton	1972565	CoAr191048	na	11181	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
vesiculovirus	db	viral	Vesiculovirus	11271	1972566	GCF_002816075.1	Vesiculovirus radi	1972566	ISS Phl-166	na	11068	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
peduovirus	sim	viral	Peduovirus	140410	2844217	GCF_902141575.1	Peduovirus P22H1	2844217		na	32662	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
peduovirus	db	viral	Peduovirus	140410	2844218	GCF_902141565.1	Peduovirus P22H4	2844218		na	31342	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pandoravirus	sim	viral	Pandoravirus	2060084	1349409	GCF_000911655.1	Pandoravirus dulcis	1349409		na	1908524	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pandoravirus	db	viral	Pandoravirus	2060084	1349410	GCF_000911955.1	Pandoravirus salinus	1349410		na	2473870	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
potexvirus	sim	viral	Potexvirus	12176	85454	GCF_000866985.1	Potexvirus alternantherae	85454		na	6607	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
potexvirus	db	viral	Potexvirus	12176	316983	GCF_000866665.1	Potexvirus ecsalstroemeriae	316983		na	7009	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
betalipothrixvirus	sim	viral	Betalipothrixvirus	341940	346881	GCF_000878935.1	Betalipothrixvirus acidiani	346881		na	40449	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
betalipothrixvirus	db	viral	Betalipothrixvirus	341940	346882	GCF_000871385.1	Betalipothrixvirus pozzuoliense	346882		na	39577	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
