pair_id	role	domain	family	family_taxid	genus	genus_taxid	species_taxid	accession	organism_name	tax_id	strain	refseq_category	total_sequence_length	assembly_level	pair_mode	note
bacteria_enterococcaceae	db	bacteria	Enterococcaceae	81852	Vagococcus	2737	2738	GCF_020628735.1	Vagococcus fluvialis	2738	12B2	na	2956963	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_sphingomonadaceae	sim	bacteria	Sphingomonadaceae	41297	Sphingomonas	13687	13689	GCF_016027095.1	Sphingomonas paucimobilis	13689	FDAARGOS_908	reference genome	4367078	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_sphingomonadaceae	db	bacteria	Sphingomonadaceae	41297	Citromicrobium	72173	72174	GCF_039621465.1	Citromicrobium bathyomarinum	72174	MCCC1A09559	na	3358554	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_streptococcaceae	sim	bacteria	Streptococcaceae	1300	Streptococcus	1301	1302	GCF_019046945.1	Streptococcus gordonii	1302	FDAARGOS 1454	reference genome	2187618	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_streptococcaceae	db	bacteria	Streptococcaceae	1300	Lactococcus	1357	1358	GCF_003176835.1	Lactococcus lactis subsp. lactis	1360	14B4	reference genome	2639081	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_pseudonocardiaceae	sim	bacteria	Pseudonocardiaceae	2070	Amycolatopsis	1813	1814	GCF_000739085.1	Amycolatopsis methanolica 239	1068978	239	reference genome	7237391	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
bacteria_pseudonocardiaceae	db	bacteria	Pseudonocardiaceae	2070	Saccharopolyspora	1835	1836	GCF_000062885.1	Saccharopolyspora erythraea NRRL 2338	405948	NRRL 2338	reference genome	8212805	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_natrialbaceae	sim	archaea	Natrialbaceae	1644061	Natrinema	88723	69525	GCF_000230735.2	Natrinema pellirubrum DSM 15624	797303	DSM 15624	reference genome	4354100	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_natrialbaceae	db	archaea	Natrialbaceae	1644061	Natrinema	88723	69527	GCF_005890195.1	Natrinema pallidum	69527	BOL6-1	reference genome	3778093	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_haloarculaceae	sim	archaea	Haloarculaceae	1963268	Haloarcula	2237	2238	GCF_000011085.1	Haloarcula marismortui ATCC 43049	272569	ATCC 43049	reference genome	4274642	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_haloarculaceae	db	archaea	Haloarculaceae	1963268	Haloarcula	2237	29282	GCF_982480705.1	Haloarcula japonica	29282		na	4222054	Chromosome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_methanobacteriaceae	sim	archaea	Methanobacteriaceae	2159	Methanobacterium	2160	2162	GCF_001458655.1	Methanobacterium formicicum	2162		reference genome	2494510	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_methanobacteriaceae	db	archaea	Methanobacteriaceae	2159	Methanobacterium	2160	59277	GCF_002813695.1	Methanobacterium subterraneum	59277	A8p	reference genome	2515817	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_natronomonadaceae	sim	archaea	Natronomonadaceae	3402413	Natronomonas	63743	2257	GCF_000026045.1	Natronomonas pharaonis DSM 2160	348780	Gabara	reference genome	2749696	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_natronomonadaceae	db	archaea	Natronomonadaceae	3402413	Natronomonas	63743	416273	GCF_000591055.1	Natronomonas moolapensis 8.8.11	268739	8.8.11	reference genome	2912573	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_halobacteriaceae	sim	archaea	Halobacteriaceae	2236	Halobacterium	2239	2242	GCF_004799605.1	Halobacterium salinarum	2242	91-R6	reference genome	2429680	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_halobacteriaceae	db	archaea	Halobacteriaceae	2236	Halobacterium	2239	223182	GCF_021233435.1	Halobacterium noricense	223182	JCM 15102	reference genome	3316796	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_methanomicrobiaceae	sim	archaea	Methanomicrobiaceae	2194	Methanoculleus	45989	2198	GCF_000015825.1	Methanoculleus marisnigri JR1	368407	JR1	reference genome	2478101	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_methanomicrobiaceae	db	archaea	Methanomicrobiaceae	2194	Methanoculleus	45989	83986	GCF_000304355.2	Methanoculleus bourgensis MS2	1201294	type strain:MS2	reference genome	2789774	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
archaea_nitrosopumilaceae	sim	archaea	Nitrosopumilaceae	338190	Nitrosopumilus	338191	338192	GCF_000018465.1	Nitrosopumilus maritimus SCM1	436308	SCM1	reference genome	1645259	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_nitrosopumilaceae	db	archaea	Nitrosopumilaceae	338190	Nitrosarchaeum	1007082	2259673	GCF_013407385.1	Nitrosarchaeum sp. AC2	2259673	AC2	na	1720730	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_archaeoglobaceae	sim	archaea	Archaeoglobaceae	2232	Archaeoglobus	2233	2234	GCF_000008665.1	Archaeoglobus fulgidus DSM 4304	224325	DSM 4304	reference genome	2178400	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_archaeoglobaceae	db	archaea	Archaeoglobaceae	2232	Ferroglobus	54260	54261	GCF_000025505.1	Ferroglobus placidus DSM 10642	589924	DSM 10642	reference genome	2196266	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_natronoarchaeaceae	sim	archaea	Natronoarchaeaceae	2976354	Natronoarchaeum	926359	755311	GCF_056921715.1	Natronoarchaeum rubrum	755311	H-hyl1	na	4293974	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_natronoarchaeaceae	db	archaea	Natronoarchaeaceae	2976354	Salinarchaeum	1269201	869888	GCF_023204835.1	Salinarchaeum laminariae	869888	R26	reference genome	3169627	Chromosome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_pyrodictiaceae	sim	archaea	Pyrodictiaceae	2307	Pyrodictium	2308	35616	GCF_055379715.1	Pyrodictium brockii	35616	JCM 9392	reference genome	1639937	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_pyrodictiaceae	db	archaea	Pyrodictiaceae	2307	Hyperthermus	54247	54248	GCF_000015145.1	Hyperthermus butylicus DSM 5456	415426	DSM 5456	reference genome	1667163	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_nitrososphaeraceae	sim	archaea	Nitrososphaeraceae	1033997	Nitrososphaera	497726	1034015	GCF_000698785.1	Nitrososphaera viennensis EN76	926571	EN76	reference genome	2527938	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_nitrososphaeraceae	db	archaea	Nitrososphaeraceae	1033997	Candidatus Nitrosocosmicus	1826864	1353260	GCF_000802205.1	Candidatus Nitrosocosmicus oleophilus	1353260	MY3	na	3430706	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_thermoplasmataceae	sim	archaea	Thermoplasmataceae	46659	Thermoplasma	2302	2303	GCF_000195915.1	Thermoplasma acidophilum DSM 1728	273075	DSM 1728	reference genome	1564906	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
archaea_thermoplasmataceae	db	archaea	Thermoplasmataceae	46659	Oxyplasma	3373586	3073602	GCF_038024865.1	Oxyplasma meridianum	3073602	M1	reference genome	1676007	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_rhabdoviridae	sim	viral	Rhabdoviridae	11270	Lyssavirus	11286	11292	GCF_000859625.1	Lyssavirus rabies	11292		na	11932	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_rhabdoviridae	db	viral	Rhabdoviridae	11270	Lyssavirus	11286	12538	GCF_000856485.1	Lyssavirus mokola	12538		na	11940	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_polyomaviridae	sim	viral	Polyomaviridae	151341	Betapolyomavirus	1891714	1236392	GCF_000902195.1	Betapolyomavirus calbifrons	1236392		na	5013	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_polyomaviridae	db	viral	Polyomaviridae	151341	Betapolyomavirus	1891714	1236395	GCF_000929995.1	Betapolyomavirus cercopitheci	1236395		na	5189	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_arenaviridae	sim	viral	Arenaviridae	11617	Mammarenavirus	1653394	144752	GCF_000872565.1	Mammarenavirus allpahuayoense	144752	CLHP-2472	na	10396	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_arenaviridae	db	viral	Arenaviridae	11617	Mammarenavirus	1653394	2169991	GCF_000856545.1	Mammarenavirus juninense	2169991	XJ13	na	10525	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_steitzviridae	sim	viral	Steitzviridae	2842332	Alehxovirus	2842364	3426018	GCF_024382145.1	Alehxovirus allofaecicola	3426018		na	3792	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_steitzviridae	db	viral	Steitzviridae	2842332	Alehxovirus	2842364	3426021	GCF_024381595.1	Alehxovirus allofundihabitans	3426021		na	3676	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_ouroboviridae	sim	viral	Ouroboviridae	3152142	Naiadivirus	3153040	3430986	GCF_022874115.1	Naiadivirus befense	3430986		na	2054	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_ouroboviridae	db	viral	Ouroboviridae	3152142	Naiadivirus	3153040	3430987	GCF_022874165.1	Naiadivirus vacaense	3430987		na	2173	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_hantaviridae	sim	viral	Hantaviridae	1980413	Orthohantavirus	1980442	1980456	GCF_000850405.1	Orthohantavirus andesense	1980456	Chile-9717869	na	12104	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_hantaviridae	db	viral	Hantaviridae	1980413	Orthohantavirus	1980442	3052470	GCF_002816435.1	Orthohantavirus bayoui	3052470		na	12189	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_papillomaviridae	sim	viral	Papillomaviridae	151340	Alphapapillomavirus	333750	10570	GCF_000836865.1	Alphapapillomavirus 12	10570		na	8028	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_papillomaviridae	db	viral	Papillomaviridae	151340	Alphapapillomavirus	333750	333767	GCF_000862805.1	Alphapapillomavirus 3	333767		na	7989	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
viral_smacoviridae	sim	viral	Smacoviridae	2169574	Bovismacovirus	2169575	3427595	GCF_005235205.1	Bovismacovirus bovas3	3427595		na	2727	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_smacoviridae	db	viral	Smacoviridae	2169574	Porprismacovirus	2169663	3431830	GCF_005235225.1	Porprismacovirus bovas3	3431830		na	2734	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_parvoviridae	sim	viral	Parvoviridae	10780	Amdoparvovirus	310911	1908805	GCF_002374935.1	Amdoparvovirus sp.	1908805		na	4662	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_parvoviridae	db	viral	Parvoviridae	10780	Protoparvovirus	1506574	3052712	GCF_000973435.1	Protoparvovirus eulipotyphla1	3052712	ZM38	na	4613	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_flaviviridae	sim	viral	Flaviviridae	11050	Pestivirus	11095	31657	GCF_029884895.1	Pestivirus sp.	31657		na	12173	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_flaviviridae	db	viral	Flaviviridae	11050	Hepacivirus	11102	2202225	GCF_004132385.1	Hepacivirus P	2202225		na	8684	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_phenuiviridae	sim	viral	Phenuiviridae	1980418	Phasivirus	1980421	3052627	GCF_002814795.1	Phasivirus baduense	3052627		na	12247	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_phenuiviridae	db	viral	Phenuiviridae	1980418	Tenuivirus	12329	3052762	GCF_000847645.1	Tenuivirus oryzabrevis	3052762		na	25142	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_spinareoviridae	sim	viral	Spinareoviridae	2946187	Aquareovirus	10979	185782	GCF_000853585.1	Aquareovirus ctenopharyngodontis	185782	Golden shiner reovirus	na	23696	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_spinareoviridae	db	viral	Spinareoviridae	2946187	Cypovirus	10981	3428163	GCF_000850245.1	Cypovirus 1	205895	Lymantria dispar cypovirus 1	na	24732	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_mimiviridae	sim	viral	Mimiviridae	549779	Mimivirus	315393	1128151	GCF_000918435.1	Mimivirus terra2	1128151		na	1168989	Chromosome	different_genera	Lower species taxid is simulated; higher species taxid is the database
viral_mimiviridae	db	viral	Mimiviridae	549779	Tupanvirus	2094720	3060758	GCF_002966485.1	Tupanvirus soda lake	2126985		na	1516267	Chromosome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_malasseziaceae	sim	eukaryota	Malasseziaceae	742845	Malassezia	55193	76775	GCF_003290485.1	Malassezia restricta	76775	KCTC 27527	reference genome	7330907	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_malasseziaceae	db	eukaryota	Malasseziaceae	742845	Malassezia	55193	223818	GCF_029542785.1	Malassezia japonica	223818	CBS 9431	reference genome	8433779	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_babesiidae	sim	eukaryota	Babesiidae	32594	Babesia	5864	5865	GCF_000165395.2	Babesia bovis T2Bo	484906	T2Bo	reference genome	8195476	Chromosome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_babesiidae	db	eukaryota	Babesiidae	32594	Babesia	5864	5866	GCF_000981445.1	Babesia bigemina	5866	Bond	reference genome	13840936	Chromosome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_metschnikowiaceae	sim	eukaryota	Metschnikowiaceae	27319	Australozyma	3300567	291208	GCF_035610405.1	Australozyma saopauloensis	291208	19XY460	reference genome	12068158	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_metschnikowiaceae	db	eukaryota	Metschnikowiaceae	27319	Candidozyma	3303203	498019	GCF_003013715.1	Candidozyma auris	498019	B11220	reference genome	12249773	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_trichosporonaceae	sim	eukaryota	Trichosporonaceae	1759442	Vanrija	1851468	143232	GCF_020906515.1	Vanrija pseudolonga	143232		reference genome	24922244	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_trichosporonaceae	db	eukaryota	Trichosporonaceae	1759442	Cutaneotrichosporon	1838142	279322	GCF_030864355.1	Cutaneotrichosporon cavernicola	279322	HIS019	reference genome	20237334	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_pichiaceae	sim	eukaryota	Pichiaceae	1156497	Brettanomyces	13366	5007	GCF_011074885.1	Brettanomyces bruxellensis	5007	UCD 2041	reference genome	13150648	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_pichiaceae	db	eukaryota	Pichiaceae	1156497	Brettanomyces	13366	13502	GCF_011074865.1	Brettanomyces nanus	13502	CBS 1945	reference genome	10117252	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_debaryomycetaceae	sim	eukaryota	Debaryomycetaceae	766764	Candida	5475	5476	GCF_000182965.3	Candida albicans SC5314	237561	SC5314	reference genome	14282666	Chromosome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_debaryomycetaceae	db	eukaryota	Debaryomycetaceae	766764	Candida	5475	42374	GCF_000026945.1	Candida dubliniensis CD36	573826	CD36	reference genome	14618422	Complete Genome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_chaetomiaceae	sim	eukaryota	Chaetomiaceae	35718	Remersonia	72143	72144	GCF_042764415.1	Remersonia thermophila	72144	ATCC 22073	reference genome	27414229	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_chaetomiaceae	db	eukaryota	Chaetomiaceae	35718	Thermothelomyces	1920207	78579	GCF_000226095.1	Thermothelomyces thermophilus ATCC 42464	573729	ATCC 42464	reference genome	38744216	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_podosporaceae	sim	eukaryota	Podosporaceae	2609812	Podospora	5144	2093777	GCF_035222275.1	Podospora bellae-mahoneyi	2093777	CBS 112042	reference genome	34330348	Chromosome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_podosporaceae	db	eukaryota	Podosporaceae	2609812	Podospora	5144	2093779	GCF_035222375.1	Podospora pseudocomata	2093779	CBS 415.72m	reference genome	34981282	Chromosome	same_genus	Lower species taxid is simulated; higher species taxid is the database
eukaryota_clavicipitaceae	sim	eukaryota	Clavicipitaceae	34397	Metarhizium	5529	500148	GCF_013426205.1	Metarhizium brunneum	500148	4556	reference genome	37771916	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_clavicipitaceae	db	eukaryota	Clavicipitaceae	34397	Ustilaginoidea	124426	1159556	GCF_000687475.1	Ustilaginoidea virens	1159556	UV-8b	reference genome	37060086	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_pleosporaceae	sim	eukaryota	Pleosporaceae	28556	Pyrenophora	5027	45151	GCF_003171515.1	Pyrenophora tritici-repentis	45151	M4	reference genome	40738834	Chromosome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_pleosporaceae	db	eukaryota	Pleosporaceae	28556	Alternaria	5598	48095	GCF_042100115.1	Alternaria dauci	48095	A2016	reference genome	34906709	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_sordariaceae	sim	eukaryota	Sordariaceae	5148	Neurospora	5140	5141	GCF_000182925.2	Neurospora crassa OR74A	367110	OR74A	reference genome	41037538	Chromosome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_sordariaceae	db	eukaryota	Sordariaceae	5148	Sordaria	5146	5147	GCF_033870435.1	Sordaria macrospora	5147	SN1693	reference genome	39444728	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_cryptococcaceae	sim	eukaryota	Cryptococcaceae	1884633	Kwoniella	490731	4975	GCF_036810415.1	Kwoniella dendrophila CBS 6074	1295534	CBS 6074	reference genome	23026020	Complete Genome	different_genera	Lower species taxid is simulated; higher species taxid is the database
eukaryota_cryptococcaceae	db	eukaryota	Cryptococcaceae	1884633	Cryptococcus	5206	5207	GCF_000149245.1	Cryptococcus neoformans H99	235443	H99	reference genome	18891193	Chromosome	different_genera	Lower species taxid is simulated; higher species taxid is the database
