pair_id	role	domain	genus	genus_taxid	species_taxid	accession	organism_name	tax_id	strain	refseq_category	total_sequence_length	assembly_level	note
sphingomonas	db	bacteria	Sphingomonas	13687	28213	GCF_039725525.1	Sphingomonas parapaucimobilis	28213	YK209	na	4099248	Chromosome	Lower species taxid is simulated; higher species taxid is the database
mycobacterium	sim	bacteria	Mycobacterium	1763	1764	GCF_022175585.2	Mycobacterium avium subsp. hominissuis	439334	OCU889s_P11_4s	reference genome	5173839	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
mycobacterium	db	bacteria	Mycobacterium	1763	1767	GCF_000277125.1	Mycobacterium intracellulare ATCC 13950	487521	ATCC 13950	reference genome	5402402	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
enterobacter	sim	bacteria	Enterobacter	547	550	GCF_905331265.2	Enterobacter cloacae	550		reference genome	5023439	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
enterobacter	db	bacteria	Enterobacter	547	61645	GCF_007035805.1	Enterobacter asburiae	61645	17Nkhm-UP2	reference genome	4768325	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
shewanella	sim	bacteria	Shewanella	22	23	GCF_059638055.1	Shewanella colwelliana	23	CLAM2	reference genome	4488291	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
shewanella	db	bacteria	Shewanella	22	24	GCF_016406325.1	Shewanella putrefaciens	24	ATCC 8071	reference genome	4386330	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
spiroplasma	sim	bacteria	Spiroplasma	2132	2133	GCF_001886855.1	Spiroplasma citri	2133	R8-A2	reference genome	1640878	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
spiroplasma	db	bacteria	Spiroplasma	2132	2136	GCF_002865545.1	Spiroplasma monobiae MQ-1	1336748	MQ-1	reference genome	891575	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
stenotrophomonas	sim	bacteria	Stenotrophomonas	40323	40324	GCF_020641395.2	Stenotrophomonas maltophilia	40324	ACYCa.6E	reference genome	4646175	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
stenotrophomonas	db	bacteria	Stenotrophomonas	40323	83617	GCF_001700965.1	Stenotrophomonas nitritireducens	83617	2001	na	4541729	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halorubrum	sim	archaea	Halorubrum	56688	2247	GCF_000022205.1	Halorubrum lacusprofundi ATCC 49239	416348	ATCC 49239	reference genome	3692576	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halorubrum	db	archaea	Halorubrum	56688	2248	GCF_982481055.1	Halorubrum saccharovorum	2248		na	3338610	Chromosome	Lower species taxid is simulated; higher species taxid is the database
methanosarcina	sim	archaea	Methanosarcina	2207	2208	GCF_000970025.1	Methanosarcina barkeri MS	1434108	MS	reference genome	4574907	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanosarcina	db	archaea	Methanosarcina	2207	2209	GCF_000970205.1	Methanosarcina mazei S-6	213585	S-6	reference genome	4142816	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
natrinema	sim	archaea	Natrinema	88723	69525	GCF_000230735.2	Natrinema pellirubrum DSM 15624	797303	DSM 15624	reference genome	4354100	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
natrinema	db	archaea	Natrinema	88723	69527	GCF_005890195.1	Natrinema pallidum	69527	BOL6-1	reference genome	3778093	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanolobus	sim	archaea	Methanolobus	2220	536044	GCF_013388255.1	Methanolobus zinderi	536044	DSM 21339	reference genome	2704953	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanolobus	db	archaea	Methanolobus	2220	3072977	GCF_031312535.1	Methanolobus mangrovi	3072977	FTZ2	reference genome	2623311	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanothermobacter	sim	archaea	Methanothermobacter	145260	145261	GCF_025397995.1	Methanothermobacter wolfeii	145261	DSM 2970	reference genome	1706705	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanothermobacter	db	archaea	Methanothermobacter	145260	145262	GCF_027554905.1	Methanothermobacter thermautotrophicus	145262	Delta H	reference genome	1751429	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halobaculum	sim	archaea	Halobaculum	43927	1017351	GCF_019823105.1	Halobaculum magnesiiphilum	1017351	NBRC 109044	reference genome	3732450	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halobaculum	db	archaea	Halobaculum	43927	2175149	GCF_019880245.1	Halobaculum roseum	2175149	CGMCC 1.15501	reference genome	3719897	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
haladaptatus	sim	archaea	Haladaptatus	367188	1008152	GCF_020700235.1	Haladaptatus pallidirubidus	1008152	YIM 93656	reference genome	6270521	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
haladaptatus	db	archaea	Haladaptatus	367188	2884875	GCF_020618475.1	Haladaptatus halobius	2884875	PSR5	reference genome	7279389	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halorussus	sim	archaea	Halorussus	1070314	2505977	GCF_004087835.1	Halorussus pelagicus	2505977	RC-68	reference genome	3490924	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halorussus	db	archaea	Halorussus	1070314	2650975	GCF_008831545.1	Halorussus halophilus	2650975	ZS-3	reference genome	4450731	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanocaldococcus	sim	archaea	Methanocaldococcus	196118	2190	GCF_000091665.1	Methanocaldococcus jannaschii DSM 2661	243232	DSM 2661	reference genome	1739927	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanocaldococcus	db	archaea	Methanocaldococcus	196118	67760	GCF_000092305.1	Methanocaldococcus infernus ME	573063	ME	reference genome	1328194	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
acidianus	sim	archaea	Acidianus	12914	2283	GCF_009729015.1	Acidianus ambivalens	2283	LEI 10	reference genome	2252027	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
acidianus	db	archaea	Acidianus	12914	41673	GCF_003201835.2	Acidianus brierleyi	41673	DSM 1651	reference genome	2947244	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halomicrobium	sim	archaea	Halomicrobium	203135	57705	GCF_000023965.1	Halomicrobium mukohataei DSM 12286	485914	DSM 12286	reference genome	3332349	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
halomicrobium	db	archaea	Halomicrobium	203135	1586233	GCF_020217425.1	Halomicrobium urmianum	1586233	IBRC-M: 10911	reference genome	4254704	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanococcoides	sim	archaea	Methanococcoides	2225	2226	GCF_052657215.1	Methanococcoides methylutens	2226	Q3c	na	2584604	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
methanococcoides	db	archaea	Methanococcoides	2225	29291	GCF_000013725.1	Methanococcoides burtonii DSM 6242	259564	DSM 6242	reference genome	2575032	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
mammarenavirus	sim	viral	Mammarenavirus	1653394	144752	GCF_000872565.1	Mammarenavirus allpahuayoense	144752	CLHP-2472	na	10396	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
mammarenavirus	db	viral	Mammarenavirus	1653394	2169991	GCF_000856545.1	Mammarenavirus juninense	2169991	XJ13	na	10525	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
cyclovirus	sim	viral	Cyclovirus	742914	942033	GCF_000889655.1	Cyclovirus PKgoat21/PAK/2009	942033		na	1838	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
cyclovirus	db	viral	Cyclovirus	742914	1506568	GCF_000925995.1	Cyclovirus ZM36a	1506568	ZM36a	na	1865	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
alphapolyomavirus	sim	viral	Alphapolyomavirus	1891713	1236391	GCF_000902815.1	Alphapolyomavirus apaniscus	1236391		na	5273	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
alphapolyomavirus	db	viral	Alphapolyomavirus	1891713	1606498	GCF_002827805.1	Alphapolyomavirus secarplanirostris	1606498		na	5019	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
begomovirus	sim	viral	Begomovirus	10814	10815	GCF_000847225.1	Begomovirus bauri	10815		na	5217	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
begomovirus	db	viral	Begomovirus	10814	10817	GCF_000857205.1	Begomovirus manihotis	10817		na	5503	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
enterovirus	sim	viral	Enterovirus	12059	47681	GCF_000919855.1	Enterovirus sp.	47681		na	7376	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
enterovirus	db	viral	Enterovirus	12059	3428500	GCF_000861905.1	Enterovirus A	138948		na	7413	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
emaravirus	sim	viral	Emaravirus	675845	1980427	GCF_001580335.1	Emaravirus fici	1980427		na	15217	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
emaravirus	db	viral	Emaravirus	675845	1980428	GCF_002375145.1	Emaravirus tritici	1980428		na	18555	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
ninurtavirus	sim	viral	Ninurtavirus	3152926	3431119	GCF_004290935.1	Ninurtavirus cruti	3431119		na	2159	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
ninurtavirus	db	viral	Ninurtavirus	3152926	3431125	GCF_004369605.1	Ninurtavirus lophus	3431125		na	2979	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
gyrovirus	sim	viral	Gyrovirus	227307	2844799	GCF_001045285.1	Gyrovirus GyV8	1670973		na	2218	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
gyrovirus	db	viral	Gyrovirus	227307	2844801	GCF_000924395.1	Gyrovirus GyV7-SF	1548711	GyV7-SF	na	2439	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
porprismacovirus	sim	viral	Porprismacovirus	2169663	3431830	GCF_005235225.1	Porprismacovirus bovas3	3431830		na	2734	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
porprismacovirus	db	viral	Porprismacovirus	2169663	3431834	GCF_031249865.1	Porprismacovirus canid3	3431834	CJY7	na	2610	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
peduovirus	sim	viral	Peduovirus	140410	2844217	GCF_902141575.1	Peduovirus P22H1	2844217		na	32662	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
peduovirus	db	viral	Peduovirus	140410	2844218	GCF_902141565.1	Peduovirus P22H4	2844218		na	31342	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
potexvirus	sim	viral	Potexvirus	12176	85454	GCF_000866985.1	Potexvirus alternantherae	85454		na	6607	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
potexvirus	db	viral	Potexvirus	12176	316983	GCF_000866665.1	Potexvirus ecsalstroemeriae	316983		na	7009	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
cosavirus	sim	viral	Cosavirus	586418	1582094	GCF_000930055.1	Cosavirus JMY-2014	1582094		na	7213	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
cosavirus	db	viral	Cosavirus	586418	3428094	GCF_000885595.1	Cosavirus A	1330491	HCoSV-A1	na	7632	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pepevirus	sim	viral	Pepevirus	2842951	3431576	GCF_024382215.1	Pepevirus faecenecus	3431576		na	3642	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
pepevirus	db	viral	Pepevirus	2842951	3431577	GCF_024382315.1	Pepevirus faecicola	3431577		na	3596	Complete Genome	Lower species taxid is simulated; higher species taxid is the database
